"23921","ST SYMPHORIEN","33113"
"23922","VERAC","33240"
"25191","ARCACHON","33120"
"25192","ARES","33740"
"25193","BEAUTIRAN","33640"
"25194","CUBZAC LES PONTS","33240"
"25195","LABARDE","33460"
"25196","MAZERES","33210"
"25197","MONTAGNE","33570"
"25198","RIMONS","33580"
"25199","ST AIGNAN","33126"
"25200","ST CIERS SUR GIRONDE","33820"
"27110","AMBARES ET LAGRAVE","33440"
"27111","ARCINS","33460"
"27112","ARSAC","33460"
"27113","BALIZAC","33730"
"27114","CUDOS","33430"
"27115","FLOIRAC","33270"
"27116","LANDERROUAT","33790"
"27117","LIBOURNE","33500"
"27118","MONSEGUR","33580"
"27119","ST GENES DE LOMBAUD","33670"
"27120","ST GERMAIN D ESTEUIL","33340"
"27121","ST MARTIAL","33490"
"27122","ST MARTIN DE LAYE","33910"
"27123","ST PIERRE DE BAT","33760"
"27124","ST SAVIN","33920"
"27125","TOULENNE","33210"
"27481","BEAUNE D ALLIER","3390"
"27482","CERILLY","3350"
"27487","LOUROUX DE BOUBLE","3330"
"27492","NEURE","3320"
"27494","POUZY MESANGY","3320"
"27639","ARCHIGNAT","3380"
"27642","MEAULNE","3360"
"27901","ST FERME","33580"
"27902","ST LOUBES","33450"
"27903","ST PIERRE D AURILLAC","33490"
"28037","LES ARTIGUES DE LUSSAC","33570"
"28038","AUBIE ET ESPESSAS","33240"
"28039","AYGUEMORTE LES GRAVES","33640"
"28040","CADAUJAC","33140"
"28041","CADILLAC EN FRONSADAIS","33240"
"28042","CANTENAC","33460"
"28043","CASTELMORON D ALBRET","33540"
"28044","CAUDROT","33490"
"28045","CAZALIS","33113"
"28046","LANDIRAS","33720"
"28047","LARTIGUE","33840"
"28048","LERM ET MUSSET","33840"
"28049","LOUCHATS","33125"
"28050","STE COLOMBE","33350"
"28051","ST JEAN DE BLAIGNAC","33420"
"28052","ST MORILLON","33650"
"28053","ST PARDON DE CONQUES","33210"
"28054","VALEYRAC","33340"
"28055","VENDAYS MONTALIVET","33930"
"28056","MARCHEPRIME","33380"
"28363","BAGAS","33190"
"28364","LE BARP","33114"
"28365","BLAYE","33390"
"28366","CARBON BLANC","33560"
"28367","ESCOUSSANS","33760"
"28368","GAILLAN EN MEDOC","33340"
"28369","GRIGNOLS","33690"
"28370","GUITRES","33230"
"28371","LAMOTHE LANDERRON","33190"
"28372","LEGE CAP FERRET","33950"
"28373","LEOGNAN","33850"
"28374","LIGNAN DE BAZAS","33430"
"28375","LOUPIAC","33410"
"28376","PLASSAC","33390"
"28377","PORCHERES","33660"
"28378","LE POUT","33670"
"28379","STE EULALIE","33560"
"28380","ST LAURENT DU PLAN","33190"
"28381","ST SULPICE ET CAMEYRAC","33450"
"28382","ST TROJAN","33710"
"28383","TARGON","33760"
"29068","BASSANNE","33190"
"29069","BELIN BELIET","33830"
"29070","BRANNENS","33124"
"29071","CAUVIGNAC","33690"
"29072","CESSAC","33760"
"29073","EYNESSE","33220"
"29074","GARDEGAN ET TOURTIRAC","33350"
"29075","GIRONDE SUR DROPT","33190"
"29076","GRADIGNAN","33170"
"29077","MARTIGNAS SUR JALLE","33127"
"29078","MASSEILLES","33690"
"29079","MONTUSSAN","33450"
"29080","LES PEINTURES","33230"
"29081","PRECHAC","33730"
"29082","PRIGNAC ET MARCAMPS","33710"
